GID	SYMBOL	GENENAME
6932	VaccDscaff13-augustus-gene-273.43	LRR receptor-like serine threonine-protein kinase
6933	VaccDscaff13-augustus-gene-274.28	Belongs to the AAA ATPase family
6934	VaccDscaff13-augustus-gene-274.31	40s ribosomal protein
6935	VaccDscaff13-augustus-gene-274.32	argininosuccinate lyase
6936	VaccDscaff13-augustus-gene-274.30	This protein plays a role in synthesis of starch. It catalyzes the synthesis of the activated glycosyl donor, ADP- glucose from Glc-1-P and ATP
6937	VaccDscaff13-augustus-gene-275.33	CRAL/TRIO, N-terminal domain
6938	VaccDscaff13-snap-gene-275.37	Domain associated at C-terminal with AAA
6939	VaccDscaff13-processed-gene-275.0	Belongs to the AAA ATPase family
6940	VaccDscaff13-snap-gene-275.39	Belongs to the AAA ATPase family
6941	VaccDscaff13-augustus-gene-275.35	Ribonuclease 3-like protein
6942	VaccDscaff13-augustus-gene-275.34	Phosphatidylinositol phosphatidylcholine transfer protein
6943	VaccDscaff13-snap-gene-277.39	Structural maintenance of chromosomes protein
6944	VaccDscaff13-augustus-gene-277.36	NYN domain
6945	VaccDscaff13-snap-gene-277.43	Encoded by
6946	VaccDscaff13-augustus-gene-279.32	protein binding zinc ion binding
6947	VaccDscaff13-augustus-gene-280.32	Bifunctional phosphatase IMPL2
6948	VaccDscaff13-processed-gene-280.8	Belongs to the disease resistance NB-LRR family
6949	VaccDscaff13-augustus-gene-281.31	RECEPTOR-like protein kinase
6950	VaccDscaff13-processed-gene-281.6	Belongs to the AAA ATPase family
6951	VaccDscaff13-snap-gene-282.32	Bromo adjacent homology domain
6952	VaccDscaff13-augustus-gene-282.21	SNF2 domain-containing protein CLASSY
6953	VaccDscaff13-augustus-gene-282.24	Belongs to the peptidase C1 family
6954	VaccDscaff13-augustus-gene-282.29	Protein SHI RELATED SEQUENCE
6955	VaccDscaff13-augustus-gene-282.25	WD repeat-containing protein
6956	VaccDscaff13-augustus-gene-282.27	Purple acid phosphatase
6957	VaccDscaff13-snap-gene-282.38	Essential component of the vacuolar proton pump (V- ATPase), a multimeric enzyme that catalyzes the translocation of protons across the membranes. Required for assembly and activity of the V-ATPase
6958	VaccDscaff13-augustus-gene-283.24	(S)-coclaurine N-methyltransferase-like
6959	VaccDscaff13-processed-gene-283.14	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network
6960	VaccDscaff13-augustus-gene-283.26	isoform X1
6961	VaccDscaff13-processed-gene-284.0	B-box zinc finger protein 20-like
6962	VaccDscaff13-processed-gene-284.3	LRR receptor-like serine threonine-protein kinase
6963	VaccDscaff13-processed-gene-284.8	lipolytic acyl hydrolase (LAH)
6964	VaccDscaff13-snap-gene-284.25	LRR receptor-like serine threonine-protein kinase
6965	VaccDscaff13-augustus-gene-285.37	acyl-activating enzyme 1
6966	VaccDscaff13-snap-gene-285.50	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
6967	VaccDscaff13-augustus-gene-285.35	Belongs to the serpin family
6968	VaccDscaff13-processed-gene-285.5	Belongs to the serpin family
6969	VaccDscaff13-augustus-gene-286.23	squalene
6970	VaccDscaff13-processed-gene-286.5	UBP1-associated protein
6971	VaccDscaff13-processed-gene-286.3	protein At3g15000, mitochondrial-like
6972	VaccDscaff13-augustus-gene-286.26	Ankyrin repeats (many copies)
6973	VaccDscaff13-snap-gene-286.35	Origin recognition complex subunit
6974	VaccDscaff13-augustus-gene-286.29	Protein trichome birefringence-like 31
6975	VaccDscaff13-augustus-gene-286.28	NUMOD3 motif (2 copies)
6976	VaccDscaff13-processed-gene-287.0	Mitotic-spindle organizing protein
6977	VaccDscaff13-augustus-gene-287.23	NADP-dependent D-sorbitol-6-phosphate dehydrogenase-like
6978	VaccDscaff13-augustus-gene-287.20	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
6979	VaccDscaff13-snap-gene-287.31	Epimerase family protein SDR39U1
6980	VaccDscaff13-augustus-gene-287.21	Belongs to the complex I LYR family
6981	VaccDscaff13-processed-gene-287.6	Catalyzes the aldol cleavage of 4-hydroxy-4-methyl-2- oxoglutarate (HMG) into 2 molecules of pyruvate. Also contains a secondary oxaloacetate (OAA) decarboxylase activity due to the common pyruvate enolate transition state formed following C-C bond cleavage in the retro-aldol and decarboxylation reactions
6982	VaccDscaff13-snap-gene-287.34	salt tolerance-like protein
6983	VaccDscaff13-processed-gene-287.16	Ribosomal protein S31e
6984	VaccDscaff13-augustus-gene-288.27	Protein BASIC PENTACYSTEINE4-like
6985	VaccDscaff13-snap-gene-288.35	Belongs to the class-I aminoacyl-tRNA synthetase family
6986	VaccDscaff13-snap-gene-288.32	Aldo/keto reductase family
6987	VaccDscaff13-snap-gene-288.33	Pentatricopeptide repeat-containing protein
6988	VaccDscaff13-snap-gene-288.37	polyprenol reductase
6989	VaccDscaff13-augustus-gene-291.15	transcription factor PosF21
6990	VaccDscaff13-augustus-gene-291.17	Glutamine phosphoribosylpyrophosphate amidotransferase
6991	VaccDscaff13-snap-gene-291.24	YEATS family
6992	VaccDscaff13-augustus-gene-291.18	Peptidyl-prolyl cis-trans isomerase
6993	VaccDscaff13-snap-gene-291.25	auxin-induced protein
6994	VaccDscaff13-snap-gene-291.26	auxin-induced protein
6995	VaccDscaff13-processed-gene-291.3	Auxin responsive protein
6996	VaccDscaff13-augustus-gene-292.31	Pentatricopeptide repeat-containing protein
6997	VaccDscaff13-processed-gene-292.3	auxin-induced protein
6998	VaccDscaff13-processed-gene-292.9	auxin-induced protein
6999	VaccDscaff13-processed-gene-292.10	auxin-induced protein
7000	VaccDscaff13-snap-gene-292.65	ABC transporter C family member 10-like
7001	VaccDscaff13-processed-gene-292.26	auxin-induced protein
7002	VaccDscaff13-processed-gene-292.29	auxin-induced protein
7003	VaccDscaff13-processed-gene-292.27	auxin-induced protein
7004	VaccDscaff13-snap-gene-292.47	auxin-induced protein
7005	VaccDscaff13-processed-gene-292.6	auxin-induced protein
7006	VaccDscaff13-augustus-gene-293.17	Pentatricopeptide repeat-containing protein
7007	VaccDscaff13-snap-gene-293.22	GDP-fucose protein O-fucosyltransferase
7008	VaccDscaff13-augustus-gene-294.24	Belongs to the MIP aquaporin (TC 1.A.8) family
7009	VaccDscaff13-processed-gene-294.5	Belongs to the disease resistance NB-LRR family
7010	VaccDscaff13-processed-gene-294.1	Belongs to the disease resistance NB-LRR family
7011	VaccDscaff13-processed-gene-294.21	Belongs to the MIP aquaporin (TC 1.A.8) family
7012	VaccDscaff13-snap-gene-295.19	5'-methylthioadenosine S-adenosylhomocysteine nucleosidase
7013	VaccDscaff13-augustus-gene-295.16	Belongs to the MIP aquaporin (TC 1.A.8) family
7014	VaccDscaff13-augustus-gene-295.17	ER lumen protein retaining receptor
7015	VaccDscaff13-augustus-gene-295.18	Alkaline neutral invertase
7016	VaccDscaff13-augustus-gene-296.18	Translocon-associated protein subunit alpha-like
7017	VaccDscaff13-processed-gene-296.11	Transcription factor
7018	VaccDscaff13-processed-gene-296.3	triosephosphate isomerase
7019	VaccDscaff13-snap-gene-297.25	glomerular visceral epithelial cell migration
7020	VaccDscaff13-augustus-gene-297.24	Amidase
7021	VaccDscaff13-processed-gene-297.3	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
7022	VaccDscaff13-augustus-gene-298.23	Amidase
7023	VaccDscaff13-augustus-gene-298.27	Belongs to the 'GDSL' lipolytic enzyme family
7024	VaccDscaff13-augustus-gene-298.26	GDSL esterase lipase
7025	VaccDscaff13-snap-gene-299.20	amidase C869.01
7026	VaccDscaff13-augustus-gene-299.16	GDSL esterase lipase
7027	VaccDscaff13-augustus-gene-299.15	Belongs to the 'GDSL' lipolytic enzyme family
7028	VaccDscaff13-snap-gene-299.23	Glutathione S-transferase
7029	VaccDscaff13-snap-gene-300.26	Thaumatin family
7030	VaccDscaff13-snap-gene-300.28	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
7031	VaccDscaff13-processed-gene-300.0	PI-PLC X-box domain-containing protein DDB_G0293730-like
7032	VaccDscaff13-augustus-gene-300.23	Nodulin-like
7033	VaccDscaff13-augustus-gene-300.20	Glycine-rich protein 2-like
7034	VaccDscaff13-processed-gene-301.3	PA domain
7035	VaccDscaff13-augustus-gene-301.16	Belongs to the actin-binding proteins ADF family
7036	VaccDscaff13-processed-gene-301.4	Amino acid permease
7037	VaccDscaff13-augustus-gene-302.19	E3 ubiquitin-protein ligase
7038	VaccDscaff13-snap-gene-302.25	Belongs to the CTL (choline transporter-like) family
7039	VaccDscaff13-augustus-gene-302.21	Myb-related protein 308-like
7040	VaccDscaff13-augustus-gene-302.20	FR47-like protein
7041	VaccDscaff13-snap-gene-302.30	Belongs to the peroxidase family
7042	VaccDscaff13-augustus-gene-302.24	lipid transport
7043	VaccDscaff13-augustus-gene-303.25	Transcription Factor family protein
7044	VaccDscaff13-snap-gene-303.30	serine threonine-protein kinase
7045	VaccDscaff13-augustus-gene-303.28	Heavy-metal-associated domain
7046	VaccDscaff13-augustus-gene-303.27	WD-40 repeat-containing protein
7047	VaccDscaff13-augustus-gene-303.26	Beta-galactosidase
7048	VaccDscaff13-augustus-gene-304.22	Ring finger
7049	VaccDscaff13-snap-gene-304.29	CDP-diacylglycerol-inositol 3-phosphatidyltransferase
7050	VaccDscaff13-augustus-gene-304.25	cwf21 domain
7051	VaccDscaff13-augustus-gene-304.26	High-affinity nickel-transport family protein
7052	VaccDscaff13-augustus-gene-305.30	Belongs to the SKP1 family
7053	VaccDscaff13-snap-gene-305.40	Transcription factor ABORTED
7054	VaccDscaff13-augustus-gene-305.29	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
7055	VaccDscaff13-augustus-gene-305.35	NAD(P)H-quinone oxidoreductase subunit M
7056	VaccDscaff13-augustus-gene-305.32	Wall-associated receptor
7057	VaccDscaff13-snap-gene-305.44	pre-mRNA-splicing factor
7058	VaccDscaff13-snap-gene-306.18	Protein of unknown function (DUF1279)
7059	VaccDscaff13-processed-gene-306.10	Protein of unknown function (DUF1279)
7060	VaccDscaff13-snap-gene-308.25	Belongs to the ubiquitin-conjugating enzyme family
7061	VaccDscaff13-snap-gene-308.26	26S proteasome non-ATPase regulatory subunit 3
7062	VaccDscaff13-augustus-gene-308.24	Translation initiation factor
7063	VaccDscaff13-augustus-gene-308.22	Zeaxanthin epoxidase, chloroplastic-like
7064	VaccDscaff13-augustus-gene-309.23	phosphatase 2C
7065	VaccDscaff13-augustus-gene-309.26	Protein of unknown function (DUF616)
7066	VaccDscaff13-augustus-gene-309.25	Protein CHAPERONE-LIKE PROTEIN OF POR1-like
7067	VaccDscaff13-augustus-gene-309.27	F-box domain
7068	VaccDscaff13-snap-gene-310.36	DDB1- and CUL4-associated factor
7069	VaccDscaff13-augustus-gene-310.29	Mechanosensitive ion channel
7070	VaccDscaff13-snap-gene-310.32	Polyamine transporter
7071	VaccDscaff13-snap-gene-310.35	amino acid permease family protein
7072	VaccDscaff13-augustus-gene-311.7	Mechanosensitive ion channel
7073	VaccDscaff13-augustus-gene-311.8	Mechanosensitive ion channel
7074	VaccDscaff13-augustus-gene-311.9	serine threonine-protein kinase
7075	VaccDscaff13-snap-gene-312.36	Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O- methyltransferase family
7076	VaccDscaff13-augustus-gene-312.33	Rop guanine nucleotide exchange factor
7077	VaccDscaff13-snap-gene-312.40	Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O- methyltransferase family
7078	VaccDscaff13-augustus-gene-312.29	Alpha/beta hydrolase family
7079	VaccDscaff13-processed-gene-312.7	Alpha/beta hydrolase family
7080	VaccDscaff13-snap-gene-313.28	Protein kinase domain
7081	VaccDscaff13-snap-gene-313.30	Lysine histidine transporter-like
7082	VaccDscaff13-snap-gene-313.33	Auxin-induced protein 6B-like
7083	VaccDscaff13-augustus-gene-314.23	NAC domain-containing protein
7084	VaccDscaff13-snap-gene-314.27	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged tRNA(Ala) via its editing domain
7085	VaccDscaff13-processed-gene-314.12	Cytokinin-activating enzyme working in the direct activation pathway. Phosphoribohydrolase that converts inactive cytokinin nucleotides to the biologically active free-base forms
7086	VaccDscaff13-augustus-gene-314.21	Belongs to the expansin family
7087	VaccDscaff13-augustus-gene-314.25	endochitinase
7088	VaccDscaff13-augustus-gene-315.41	serine threonine-protein kinase
7089	VaccDscaff13-snap-gene-315.46	BEST Arabidopsis thaliana protein match is Arabidopsis protein of
7090	VaccDscaff13-augustus-gene-316.13	Glycerol-3-phosphate acyltransferase
7091	VaccDscaff13-snap-gene-316.19	Protein of unknown function (DUF630)
7092	VaccDscaff13-augustus-gene-316.15	39S ribosomal protein L46
7093	VaccDscaff13-augustus-gene-316.16	flavin-containing monooxygenase
7094	VaccDscaff13-augustus-gene-316.17	flavin-containing monooxygenase
7095	VaccDscaff13-processed-gene-317.7	-
7096	VaccDscaff13-augustus-gene-317.45	anion transporter
7097	VaccDscaff13-snap-gene-317.56	Histidine phosphatase superfamily (branch 1)
7098	VaccDscaff13-snap-gene-317.53	Belongs to the multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family
7099	VaccDscaff13-augustus-gene-317.49	Belongs to the cyclin family
7100	VaccDscaff13-augustus-gene-317.47	Belongs to the cyclin family
7101	VaccDscaff13-augustus-gene-317.46	Isocitrate dehydrogenase NAD regulatory subunit
7102	VaccDscaff13-snap-gene-317.64	Tetraketide alpha-pyrone reductase
7103	VaccDscaff13-processed-gene-318.16	Glutamate-gated receptor that probably acts as non- selective cation channel
7104	VaccDscaff13-augustus-gene-318.36	Belongs to the mitochondrial carrier (TC 2.A.29) family
7105	VaccDscaff13-snap-gene-318.45	Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane
7106	VaccDscaff13-augustus-gene-318.39	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
7107	VaccDscaff13-processed-gene-318.1	Belongs to the UDP-glycosyltransferase family
7108	VaccDscaff13-processed-gene-318.22	Belongs to the UDP-glycosyltransferase family
7109	VaccDscaff13-augustus-gene-319.30	Calcium-dependent protein kinase
7110	VaccDscaff13-snap-gene-319.39	cofactor
7111	VaccDscaff13-snap-gene-319.40	aminoacylase activity
7112	VaccDscaff13-augustus-gene-320.21	Brefeldin A-inhibited guanine nucleotide-exchange protein
7113	VaccDscaff13-augustus-gene-320.20	Cmp-sialic acid transporter
7114	VaccDscaff13-augustus-gene-320.25	Ankyrin repeat domain-containing protein
7115	VaccDscaff13-snap-gene-320.28	Protein of unknown function DUF89
7116	VaccDscaff13-processed-gene-320.14	RING-H2 finger protein
7117	VaccDscaff13-snap-gene-321.31	Aux IAA proteins are short-lived transcriptional factors that function as repressors of early auxin response genes at low auxin concentrations
7118	VaccDscaff13-augustus-gene-321.28	Methyltransferase-like protein
7119	VaccDscaff13-snap-gene-321.34	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome
7120	VaccDscaff13-snap-gene-322.18	Protein phosphatase 2C and cyclic nucleotide-binding kinase domain-containing
7121	VaccDscaff13-processed-gene-322.11	E3 ubiquitin-protein ligase
7122	VaccDscaff13-processed-gene-323.32	Glycosyltransferase
7123	VaccDscaff13-augustus-gene-323.40	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
7124	VaccDscaff13-processed-gene-323.10	E3 ubiquitin-protein ligase
7125	VaccDscaff13-augustus-gene-323.42	Ninja-family protein
7126	VaccDscaff13-snap-gene-323.52	CRS2-associated factor 1
7127	VaccDscaff13-snap-gene-323.48	E3 ubiquitin-protein ligase
7128	VaccDscaff13-processed-gene-323.14	B3 DNA binding domain
7129	VaccDscaff13-snap-gene-324.20	Glycosyltransferase
7130	VaccDscaff13-snap-gene-325.35	Plant family of unknown function (DUF810)
7131	VaccDscaff13-augustus-gene-325.34	Protein phosphatase 1 regulatory subunit
7132	VaccDscaff13-processed-gene-325.18	SNW SKI-interacting protein-like
7133	VaccDscaff13-processed-gene-325.24	Pentatricopeptide repeat-containing protein
7134	VaccDscaff13-processed-gene-325.14	SNW SKI-interacting
7135	VaccDscaff13-augustus-gene-326.27	golgin candidate
7136	VaccDscaff13-snap-gene-326.32	Glycosyltransferase
7137	VaccDscaff13-augustus-gene-327.23	La-related protein
7138	VaccDscaff13-augustus-gene-327.24	Glycosyltransferase
7139	VaccDscaff13-snap-gene-328.26	SNW SKI-interacting
7140	VaccDscaff13-snap-gene-328.29	Protein phosphatase 1 regulatory subunit
7141	VaccDscaff13-processed-gene-329.2	Cotton fibre expressed protein
7142	VaccDscaff13-augustus-gene-329.23	golgin candidate
7143	VaccDscaff13-processed-gene-329.8	Pentatricopeptide repeat-containing protein
7144	VaccDscaff13-processed-gene-330.4	Mitochondrial transcription termination factor family protein
7145	VaccDscaff13-augustus-gene-331.38	malic enzyme
7146	VaccDscaff13-processed-gene-331.9	Mitochondrial import inner membrane translocase subunit
7147	VaccDscaff13-snap-gene-331.46	Belongs to the cytochrome b5 family
7148	VaccDscaff13-augustus-gene-331.43	Glycosyl transferase family 21
7149	VaccDscaff13-augustus-gene-331.41	non-haem dioxygenase in morphine synthesis N-terminal
7150	VaccDscaff13-augustus-gene-331.42	Belongs to the iron ascorbate-dependent oxidoreductase family
7151	VaccDscaff13-processed-gene-332.7	Belongs to the multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family
7152	VaccDscaff13-processed-gene-332.0	3-hydroxyisobutyrate dehydrogenase-like 1 mitochondrial
7153	VaccDscaff13-augustus-gene-332.33	-
7154	VaccDscaff13-augustus-gene-332.32	Belongs to the hexokinase family
7155	VaccDscaff13-augustus-gene-333.20	IQ-domain
7156	VaccDscaff13-augustus-gene-333.23	Phosphoinositide 3-kinase regulatory subunit
7157	VaccDscaff13-snap-gene-334.34	Belongs to the glycosyl hydrolase 17 family
7158	VaccDscaff13-snap-gene-334.35	Belongs to the protein kinase superfamily
7159	VaccDscaff13-augustus-gene-335.32	TMV resistance protein N-like
7160	VaccDscaff13-snap-gene-335.43	Belongs to the cullin family
7161	VaccDscaff13-snap-gene-335.38	Binds to actin and affects the structure of the cytoskeleton. At high concentrations, profilin prevents the polymerization of actin, whereas it enhances it at low concentrations
7162	VaccDscaff13-augustus-gene-335.34	May be involved in the degradation of misfolded endoplasmic reticulum (ER) luminal proteins
7163	VaccDscaff13-snap-gene-335.42	Belongs to the cullin family
7164	VaccDscaff13-processed-gene-336.23	Dual specificity phosphatase, catalytic domain
7165	VaccDscaff13-snap-gene-336.42	acid phosphatase
7166	VaccDscaff13-augustus-gene-336.39	(NAC) domain-containing protein
7167	VaccDscaff13-processed-gene-336.8	leucine-rich repeat extensin-like protein
7168	VaccDscaff13-augustus-gene-337.26	zinc finger CCCH domain-containing protein
7169	VaccDscaff13-snap-gene-337.35	Required for proper homologous chromosome pairing and efficient cross-over and intragenic recombination during meiosis
7170	VaccDscaff13-snap-gene-337.33	transcription factor
7171	VaccDscaff13-augustus-gene-337.31	Gamma-glutamyltranspeptidase
7172	VaccDscaff13-augustus-gene-337.30	Belongs to the peptidase M16 family
7173	VaccDscaff13-processed-gene-338.3	Necessary for protein translocation in the endoplasmic reticulum
7174	VaccDscaff13-augustus-gene-338.30	IAA-amino acid hydrolase ILR1-like
7175	VaccDscaff13-processed-gene-339.7	60S ribosomal Protein
7176	VaccDscaff13-augustus-gene-340.29	Histone acetyltransferase type B catalytic
7177	VaccDscaff13-augustus-gene-340.28	60S ribosomal Protein
7178	VaccDscaff13-snap-gene-341.31	carboxyl
7179	VaccDscaff13-snap-gene-341.30	caffeoyl-CoA O-methyltransferase
7180	VaccDscaff13-processed-gene-341.19	caffeoyl-CoA O-methyltransferase
7181	VaccDscaff13-snap-gene-344.39	Regulator of Vps4 activity in the MVB pathway protein
7182	VaccDscaff13-augustus-gene-345.32	mitochondrial ATP synthase g subunit family protein
7183	VaccDscaff13-snap-gene-345.33	phospholipase
7184	VaccDscaff13-augustus-gene-346.16	Xaa-pro dipeptidase
7185	VaccDscaff13-augustus-gene-346.18	1-aminocyclopropane-1-carboxylate synthase
7186	VaccDscaff13-augustus-gene-346.19	Transcription factor IIIB
7187	VaccDscaff13-augustus-gene-347.30	Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N- methyltransferase family
7188	VaccDscaff13-snap-gene-348.28	Belongs to the glycosyl hydrolase 28 family
7189	VaccDscaff13-augustus-gene-353.27	DNA binding
7190	VaccDscaff13-snap-gene-353.31	WD40 repeats
7191	VaccDscaff13-snap-gene-354.40	PCI domain-containing protein
7192	VaccDscaff13-processed-gene-354.0	inactive protein kinase
7193	VaccDscaff13-snap-gene-354.42	Thioredoxin-like 2
7194	VaccDscaff13-snap-gene-354.41	ubiE/COQ5 methyltransferase family
7195	VaccDscaff13-snap-gene-354.43	Ectonucleotide pyrophosphatase phosphodiesterase
7196	VaccDscaff13-processed-gene-354.9	Ectonucleotide pyrophosphatase phosphodiesterase family member
7197	VaccDscaff13-augustus-gene-355.23	beta-galactosidase
7198	VaccDscaff13-augustus-gene-355.26	GATA transcription factor
7199	VaccDscaff13-augustus-gene-355.27	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
7200	VaccDscaff13-processed-gene-355.7	Polyamine oxidase
7201	VaccDscaff13-augustus-gene-358.32	WD-40 repeat-containing protein
7202	VaccDscaff13-augustus-gene-359.35	Zinc finger CCCH domain-containing protein
7203	VaccDscaff13-processed-gene-360.2	Domain of unknown function (DUF4408)
7204	VaccDscaff13-snap-gene-361.42	Belongs to the tetraspanin (TM4SF) family
7205	VaccDscaff13-snap-gene-361.43	Belongs to the tetraspanin (TM4SF) family
7206	VaccDscaff13-augustus-gene-363.36	Translation machinery-associated protein
7207	VaccDscaff13-processed-gene-363.4	Serine aminopeptidase, S33
7208	VaccDscaff13-augustus-gene-364.38	Zinc finger CCCH domain-containing protein 7
7209	VaccDscaff13-snap-gene-364.47	transcription factor bHLH041
7210	VaccDscaff13-augustus-gene-364.43	Belongs to the RecA family
7211	VaccDscaff13-snap-gene-364.54	Pre-mRNA-splicing factor ATP-dependent RNA
7212	VaccDscaff13-augustus-gene-364.46	Regulatory protein
7213	VaccDscaff13-augustus-gene-364.45	Regulatory protein
7214	VaccDscaff13-snap-gene-364.53	Alpha beta-Hydrolases superfamily protein
7215	VaccDscaff13-processed-gene-364.26	17.1 kDa class II heat shock protein-like
7216	VaccDscaff13-processed-gene-365.5	Regulatory protein
7217	VaccDscaff13-augustus-gene-367.22	Short calmodulin-binding motif containing conserved Ile and Gln residues.
7218	VaccDscaff13-augustus-gene-367.25	Regulatory protein
7219	VaccDscaff13-snap-gene-367.32	Regulatory protein
7220	VaccDscaff13-snap-gene-367.28	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth
7221	VaccDscaff13-augustus-gene-368.42	O-acyltransferase
7222	VaccDscaff13-snap-gene-368.45	Domain in histone families 1 and 5
7223	VaccDscaff13-snap-gene-369.33	U-box domain-containing protein
7224	VaccDscaff13-snap-gene-369.30	U-box domain-containing protein
7225	VaccDscaff13-processed-gene-369.4	BEST Arabidopsis thaliana protein match is
7226	VaccDscaff13-snap-gene-370.35	Belongs to the disease resistance NB-LRR family
7227	VaccDscaff13-processed-gene-370.1	Belongs to the disease resistance NB-LRR family
7228	VaccDscaff13-snap-gene-371.24	U-box domain-containing protein
7229	VaccDscaff13-augustus-gene-372.18	U-box domain-containing protein
7230	VaccDscaff13-augustus-gene-372.19	Belongs to the complex I LYR family
7231	VaccDscaff13-augustus-gene-372.20	prolyl 4-hydroxylase
7232	VaccDscaff13-augustus-gene-372.23	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
7233	VaccDscaff13-snap-gene-373.29	Serine threonine-protein kinase
7234	VaccDscaff13-processed-gene-373.2	Pentatricopeptide repeat-containing protein
7235	VaccDscaff13-processed-gene-374.13	116 kDa U5 small nuclear ribonucleoprotein
7236	VaccDscaff13-processed-gene-374.1	U5 small nuclear ribonucleoprotein
7237	VaccDscaff13-processed-gene-374.20	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
7238	VaccDscaff13-snap-gene-374.35	beta-galactosidase
7239	VaccDscaff13-augustus-gene-374.30	palmitoyl-(protein) hydrolase activity
7240	VaccDscaff13-processed-gene-376.4	Cotton fibre expressed protein
7241	VaccDscaff13-augustus-gene-376.22	isoform X1
7242	VaccDscaff13-augustus-gene-376.23	phosphatase 2C
7243	VaccDscaff13-snap-gene-376.29	Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate
7244	VaccDscaff13-augustus-gene-376.27	UBP1-associated proteins
7245	VaccDscaff13-augustus-gene-376.28	threonine synthase
7246	VaccDscaff13-augustus-gene-376.25	Belongs to the protein kinase superfamily
7247	VaccDscaff13-augustus-gene-376.26	Cleavage and polyadenylation specificity factor subunit
7248	VaccDscaff13-augustus-gene-377.14	Protein PLASTID MOVEMENT IMPAIRED 1-RELATED
7249	VaccDscaff13-augustus-gene-377.13	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
7250	VaccDscaff13-augustus-gene-377.16	ankyrin repeat-containing protein
7251	VaccDscaff13-augustus-gene-377.15	membrane protein C776.05-like
7252	VaccDscaff13-augustus-gene-377.17	Prolyl oligopeptidase family
7253	VaccDscaff13-augustus-gene-378.21	-
7254	VaccDscaff13-snap-gene-378.24	BREVIS RADIX-like 4
7255	VaccDscaff13-augustus-gene-378.22	Belongs to the SNF7 family
7256	VaccDscaff13-augustus-gene-379.15	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
7257	VaccDscaff13-augustus-gene-380.18	Mechanosensitive ion channel protein
7258	VaccDscaff13-augustus-gene-380.20	Component of the replication protein A complex (RPA) required for DNA recombination, repair and replication. The activity of RPA is mediated by single-stranded DNA binding and protein interactions. Probably involved in repair of double-strand DNA breaks (DSBs) induced by genotoxic stresses
7259	VaccDscaff13-augustus-gene-380.21	Belongs to the universal ribosomal protein uS3 family
7260	VaccDscaff13-processed-gene-380.11	Component of the replication protein A complex (RPA) required for DNA recombination, repair and replication. The activity of RPA is mediated by single-stranded DNA binding and protein interactions. Probably involved in repair of double-strand DNA breaks (DSBs) induced by genotoxic stresses
7261	VaccDscaff13-processed-gene-380.6	elf4-like
7262	VaccDscaff13-augustus-gene-381.33	E3 ubiquitin- protein ligase
7263	VaccDscaff13-augustus-gene-381.39	Pentatricopeptide repeat-containing protein
7264	VaccDscaff13-snap-gene-381.58	CDT1-like protein a chloroplastic
7265	VaccDscaff13-augustus-gene-381.44	DENN (AEX-3) domain-containing protein
7266	VaccDscaff13-processed-gene-381.27	QLQ
7267	VaccDscaff13-snap-gene-382.23	kinase activator-like
